trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
90,False,"{'a': 0.3, 'e': 0.06720551273974958}",25,11,23.2668042516955,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.3, 'e': 0.06521928966812734}",20,3,-20.268560801669505,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
92,False,"{'a': 0.3, 'e': 0.06329176835964055}",20,11,-24.600691163033922,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.3, 'e': 0.06142121391499996}",20,14,8.132704134035531,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.3, 'e': 0.05960594270893919}",25,3,-9.177493467552637,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
95,False,"{'a': 0.3, 'e': 0.0578443208748383}",20,6,25.11653409604131,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.3, 'e': 0.05613476283413356}",30,12,31.92610093088981,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.3, 'e': 0.05447572986918971}",25,12,25.884672884298908,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.3, 'e': 0.05286572873835021}",25,0,33.73787278534568,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.3, 'e': 0.05130331033191897}",30,3,37.48228768739766,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.3, 'e': 0.04978706836786379}",20,12,13.615800626951936,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.3, 'e': 0.04831563812606763}",30,14,26.71329460281251,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.3, 'e': 0.04688769521998834}",25,1,-14.030468158345604,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
